"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"NGK","Home/Aftermarket/BRANDS","6","Yes","ngk","","","","","","Yes","Products only","","No","","","No layout updates",""
"K&N","Home/Aftermarket/BRANDS","5","Yes","k-n","","","","","","Yes","Products only","","No","","","No layout updates",""
"BMC","Home/Aftermarket/BRANDS","4","Yes","bmc","","","","","","Yes","Products only","","No","","","No layout updates",""
"Communications","Home/Accessories/CATEGORY","1","Yes","communications","","","","","","Yes","Products only","","No","","","No layout updates",""
"KYC","Home/Riding Gear/RIDING GEAR BRANDS","20","Yes","kyc","","","","","","Yes","Products only","","No","","","No layout updates",""
"Luggage Racks","Home/Aftermarket/CATEGORY","9","Yes","luggage-racks","","","","","","Yes","Products only","","No","","","No layout updates",""
"Lighting","Home/Aftermarket/CATEGORY","8","Yes","lighting","","","","","","Yes","Products only","","No","","","No layout updates",""
"Windscreens","Home/Aftermarket/CATEGORY","7","Yes","windscreens","","","","","","Yes","Products only","","No","","","No layout updates",""
"Seats","Home/Aftermarket/CATEGORY","6","Yes","seats","","","","","","Yes","Products only","","No","","","No layout updates",""
"Hand Controls & Mirrors","Home/Aftermarket/CATEGORY","5","Yes","hand-controls-mirrors","","","","","","Yes","Products only","","No","","","No layout updates",""
"Klim","Home/Riding Gear/RIDING GEAR BRANDS","18","Yes","klim","","","","","","Yes","Products only","","No","","","No layout updates",""
"icon","Home/Riding Gear/RIDING GEAR BRANDS","15","Yes","icon","","","","","","Yes","Products only","","No","","","No layout updates",""
"Fox Racing","Home/Riding Gear/RIDING GEAR BRANDS","14","Yes","fox-racing","","","","","","Yes","Products only","","No","","","No layout updates",""
"Safety Wire","Home/Tools & Maintenence/TOOLS CATEGORY","7","Yes","safety-wire","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Base Layers","Home/Riding Gear/RIDING GEAR CATEGORY","1","Yes","base-layers","","","","","","Yes","Products only","","No","","","2 columns with right bar",""
"Tools Sets","Home/Tools & Maintenence/TOOLS CATEGORY","6","Yes","tools-sets","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Engine Tools","Home/Tools & Maintenence/TOOLS CATEGORY","5","Yes","engine-tools","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Akrapovic","Home/Aftermarket/BRANDS","9","Yes","akrapovic","","","","","","Yes","Products only","","No","","","No layout updates",""
"Two Brothers","Home/Aftermarket/BRANDS","10","Yes","two-brothers","","","","","","Yes","Products only","","No","","","No layout updates",""
"Joe Rocket","Home/Riding Gear/RIDING GEAR BRANDS","17","Yes","joe-rocket","","","","","","Yes","Products only","","No","","","No layout updates",""
"Komine","Home/Riding Gear/RIDING GEAR BRANDS","19","Yes","komine","","","","","","Yes","Products only","","No","","","No layout updates",""
"Filters","Home/Aftermarket/CATEGORY","11","Yes","filters","","","","","","Yes","Products only","","No","","","No layout updates",""
"Fuel management","Home/Aftermarket/CATEGORY","10","Yes","fuel-management","","","","","","Yes","Products only","","No","","","No layout updates",""
"Hot Bodies Racing","Home/Aftermarket/BRANDS","18","Yes","hot-bodies-racing","","","","","","Yes","Products only","","No","","","No layout updates",""
"R K Chains","Home/Aftermarket/BRANDS","17","Yes","r-k-chains","","","","","","Yes","Products only","","No","","","No layout updates",""
"DID","Home/Aftermarket/BRANDS","16","Yes","did","","","","","","Yes","Products only","","No","","","No layout updates",""
"Vortex","Home/Aftermarket/BRANDS","15","Yes","vortex","","","","","","Yes","Products only","","No","","","No layout updates",""
"Rizoma","Home/Aftermarket/BRANDS","14","Yes","rizoma","","","","","","Yes","Products only","","No","","","No layout updates",""
"Saddle man","Home/Aftermarket/BRANDS","13","Yes","saddle-man","","","","","","Yes","Products only","","No","","","No layout updates",""
"Vance & Hines","Home/Aftermarket/BRANDS","12","Yes","vance-hines","","","","","","Yes","Products only","","No","","","No layout updates",""
"Yoshimura","Home/Aftermarket/BRANDS","11","Yes","yoshimura","","","","","","Yes","Products only","","No","","","No layout updates",""
"Drain Pans","Home/Tools & Maintenence/TOOLS CATEGORY","4","Yes","drain-pans","","","","","","Yes","Products only","","Yes","","","2 columns with right bar",""
"Backpacks","Home/Accessories/CATEGORY","18","Yes","backpacks","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Cameras","Home/Accessories/CATEGORY","17","Yes","cameras","","plp-shoes.jpg","","","","Yes","Products only","","Yes","","","3 columns",""
"Alpinestars","Home/Riding Gear/RIDING GEAR BRANDS","4","Yes","alpinestars","","","","","","Yes","Products only","","No","","","No layout updates",""
"AGV Sport","Home/Riding Gear/RIDING GEAR BRANDS","2","Yes","agv-sport","","","","","","Yes","Products only","","No","","","No layout updates",""
"Vests","Home/Riding Gear/RIDING GEAR CATEGORY","17","Yes","vests","","","","","","Yes","Products only","","No","","","No layout updates",""
"Socks","Home/Riding Gear/RIDING GEAR CATEGORY","16","Yes","socks","","","","","","Yes","Products only","","No","","","No layout updates",""
"Gear Bages","Home/Riding Gear/RIDING GEAR CATEGORY","4","Yes","gear-bages","","","","","","Yes","Products only","","No","","","No layout updates",""
"Rain Gear","Home/Riding Gear/RIDING GEAR CATEGORY","15","Yes","rain-gear","","","","","","Yes","Products only","","No","","","No layout updates",""
"Helmet Accessories","Home/Riding Gear/RIDING GEAR CATEGORY","8","Yes","helmet-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"Protective Armor","Home/Riding Gear/RIDING GEAR CATEGORY","14","Yes","protective-armor","","","","","","Yes","Products only","","No","","","No layout updates",""
"Pants","Home/Riding Gear/RIDING GEAR CATEGORY","13","Yes","pants","","","","","","Yes","Products only","","No","","","No layout updates",""
"Jackets","Home/Riding Gear/RIDING GEAR CATEGORY","10","Yes","jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Battries","Home/Aftermarket/CATEGORY","1","Yes","battries","","plp-w-newarrivals_1.jpg","","","","Yes","Products only","","Yes","","","3 columns",""
"Triumph","Home/Tires/BRANDS","11","Yes","triumph","","","","","","Yes","Products only","","No","","","No layout updates",""
"Arai","Home/Riding Gear/RIDING GEAR BRANDS","5","Yes","arai","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bell","Home/Riding Gear/RIDING GEAR BRANDS","8","Yes","bell","","","","","","Yes","Products only","","No","","","No layout updates",""
"Dianese","Home/Riding Gear/RIDING GEAR BRANDS","10","Yes","dianese","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cleaning Supplies","Home/Accessories/CATEGORY","16","Yes","cleaning-supplies","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Battery Chargers","Home/Accessories/CATEGORY","15","Yes","battery-chargers","","plp-eye.jpg","","","","Yes","Products only","","Yes","","","3 columns",""
"Boots","Home/Riding Gear/RIDING GEAR CATEGORY","2","Yes","boots","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Gloves","Home/Riding Gear/RIDING GEAR CATEGORY","5","Yes","gloves","","","","","","Yes","Products only","","Yes","","","1 column",""
"Eye Wear","Home/Riding Gear/RIDING GEAR CATEGORY","3","Yes","eye-wear","","","","","","Yes","Products only","","Yes","","","2 columns with left bar",""
"Brakes","Home/Aftermarket/CATEGORY","4","Yes","brakes","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Exhaust","Home/Aftermarket/CATEGORY","3","Yes","exhaust","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Bike Protection","Home/Aftermarket/CATEGORY","2","Yes","bike-protection","","plp-w-blouses.jpg","","","","Yes","Products only","","Yes","","","3 columns",""
"Headwear","Home/Riding Gear/RIDING GEAR CATEGORY","6","Yes","headwear","","","","","","Yes","Products only","","No","","","No layout updates",""
"Helmets","Home/Riding Gear/RIDING GEAR CATEGORY","7","Yes","helmets","","","","","","Yes","Products only","","No","","","No layout updates",""
"First Gear","Home/Riding Gear/RIDING GEAR BRANDS","12","Yes","first-gear","","","","","","Yes","Products only","","No","","","No layout updates",""
"DSG","Home/Riding Gear/RIDING GEAR BRANDS","11","Yes","dsg","","","","","","Yes","Products only","","No","","","No layout updates",""
"Touring Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","6","Yes","touring-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cruiser Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","3","Yes","cruiser-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Off-Road Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","4","Yes","off-road-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Women\'s Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","14","Yes","women-s-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Adventure Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","1","Yes","adventure-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"City Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","2","Yes","city-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sportbike Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","5","Yes","sportbike-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Street Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","13","Yes","street-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Textile Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","10","Yes","textile-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Gore-Tex","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","7","Yes","gore-tex","","","","","","Yes","Products only","","No","","","No layout updates",""
"Brand","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","15","Yes","brand","","","","","","Yes","Products only","","No","","","No layout updates",""
"4-Season Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","12","Yes","4-season-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Summer Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","11","Yes","summer-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Leather Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","8","Yes","leather-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mesh Jackets","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets","9","Yes","mesh-jackets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Komine","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","17","Yes","komine","","","","","","Yes","Products only","","No","","","No layout updates",""
"Thor","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","26","Yes","thor","","","","","","Yes","Products only","","No","","","No layout updates",""
"Fox Racing","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","12","Yes","fox-racing","","","","","","Yes","Products only","","No","","","No layout updates",""
"Acerbis","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","1","Yes","acerbis","","","","","","Yes","Products only","","No","","","No layout updates",""
"Clover","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","8","Yes","clover","","","","","","Yes","Products only","","No","","","No layout updates",""
"AXO","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","5","Yes","axo","","","","","","Yes","Products only","","No","","","No layout updates",""
"Scorpion EXO","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","24","Yes","scorpion-exo","","","","","","Yes","Products only","","No","","","No layout updates",""
"Ixon","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","15","Yes","ixon","","","","","","Yes","Products only","","No","","","No layout updates",""
"AHRS","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","7","Yes","ahrs","","","","","","Yes","Products only","","No","","","No layout updates",""
"Dainese","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","9","Yes","dainese","","","","","","Yes","Products only","","No","","","No layout updates",""
"Spartan ProGear","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","23","Yes","spartan-progear","","","","","","Yes","Products only","","No","","","No layout updates",""
"DSG","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","10","Yes","dsg","","","","","","Yes","Products only","","No","","","No layout updates",""
"AGV Sport","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","2","Yes","agv-sport","","","","","","Yes","Products only","","No","","","No layout updates",""
"Firstgear","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","11","Yes","firstgear","","","","","","Yes","Products only","","No","","","No layout updates",""
"Joe Rocket","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","13","Yes","joe-rocket","","","","","","Yes","Products only","","No","","","No layout updates",""
"ICON","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","14","Yes","icon","","","","","","Yes","Products only","","No","","","No layout updates",""
"Klim","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","16","Yes","klim","","","","","","Yes","Products only","","No","","","No layout updates",""
"REV\'IT!","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","18","Yes","rev-it","","","","","","Yes","Products only","","No","","","No layout updates",""
"Roland Sands Design","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","19","Yes","roland-sands-design","","","","","","Yes","Products only","","No","","","No layout updates",""
"RS Taichi","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","20","Yes","rs-taichi","","","","","","Yes","Products only","","No","","","No layout updates",""
"Spidi","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","22","Yes","spidi","","","","","","Yes","Products only","","No","","","No layout updates",""
"Tour Master","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","25","Yes","tour-master","","","","","","Yes","Products only","","No","","","No layout updates",""
"Ardians","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","4","Yes","ardians","","","","","","Yes","Products only","","No","","","No layout updates",""
"Rjays","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","21","Yes","rjays","","","","","","Yes","Products only","","No","","","No layout updates",""
"Alpinestars","Home/Riding Gear/RIDING GEAR CATEGORY/Jackets/Brand","3","Yes","riding-gear-jackets-alpinestars","","","","","","Yes","Products only","","No","","","No layout updates",""
